Curso,Nota Final
Python Básico,46.36055519479015
Machine Learning,81.92471247973955
Machine Learning,87.09303015975364
Análise de Dados,81.65395882779455
Machine Learning,68.84932715884999
Análise de Dados,73.78107350209349
Python Básico,79.13941177125344
Análise de Dados,63.547375395398525
Machine Learning,74.58121887762549
Análise de Dados,78.51958529690796
Análise de Dados,49.899895602333416
Python Básico,73.80397135520998
Machine Learning,79.33449227525419
Machine Learning,70.70351725191061
Python Básico,72.4594190837146
Análise de Dados,66.8892658859566
Machine Learning,58.67947012196283
Machine Learning,66.24465646505261
Machine Learning,78.51909733914243
Python Básico,85.75690956272335
Python Básico,79.57259432827455
Análise de Dados,83.22824860614807
Análise de Dados,76.11521896600175
Machine Learning,72.16225906505427
Análise de Dados,78.79771897649313
Python Básico,95.644431569854
Análise de Dados,75.35121903984829
Python Básico,83.5332705599539
Análise de Dados,67.9808114816223
Machine Learning,66.61646948954093
Python Básico,87.16821611031592
Python Básico,76.26844565196964
Análise de Dados,86.69319393189978
Python Básico,73.91122992875263
Machine Learning,82.7750766789419
Análise de Dados,76.34029181829806
Análise de Dados,88.06217795167285
Machine Learning,68.36970208220093
Análise de Dados,66.19614687202952
Análise de Dados,77.57180709279935
Análise de Dados,67.75000321338725
Python Básico,87.08933217844209
Python Básico,79.98732774851352
Python Básico,71.84890312719772
Análise de Dados,85.15407973232223
Machine Learning,77.64574931140112
Machine Learning,91.58489208336829
Machine Learning,81.22849354773244
Análise de Dados,79.88134110245105
Machine Learning,91.92781789299144
Machine Learning,83.29138087868346
Análise de Dados,73.42528161659914
Machine Learning,80.98997970182133
Análise de Dados,66.68695442221397
Machine Learning,92.7356483903897
Análise de Dados,98.1617523915559
Python Básico,78.1313238586943
Análise de Dados,78.98505314788437
Análise de Dados,86.99718561920662
Machine Learning,80.82799966271718
Python Básico,87.54549696166109
Python Básico,81.56109908238169
Análise de Dados,80.06430701838812
Python Básico,71.96602570260919
Machine Learning,81.46087765305847
Python Básico,91.55731798464083
Python Básico,81.71466454274152
Análise de Dados,82.38319607111596
Análise de Dados,95.16686627664569
Análise de Dados,76.7746430030034
Análise de Dados,81.95084023542566
Machine Learning,73.63369361678748
Análise de Dados,75.67076228665341
Análise de Dados,78.29987145180017
Análise de Dados,80.5472157564728
Python Básico,79.34898373026266
Python Básico,86.15647588650717
Análise de Dados,81.98126080446656
Análise de Dados,71.1437155976803
Análise de Dados,83.28362467655658
Python Básico,82.68492706622929
Machine Learning,74.13461502284987
Python Básico,74.48346334006635
Machine Learning,71.26003647350484
Python Básico,81.75027221058004
Python Básico,72.13776654549442
Machine Learning,72.94455959280224
Análise de Dados,83.7513050188144
Machine Learning,79.83957990384211
Análise de Dados,93.69417409923173
Machine Learning,74.75510875794228
Python Básico,81.0223270208039
Python Básico,92.41123425818573
Machine Learning,89.28276095467115
Python Básico,81.6983065589104
Python Básico,88.79312284040407
Análise de Dados,89.25010063969086
Python Básico,81.80097742083022
Machine Learning,84.57566882003553
Python Básico,80.70512042477696
Machine Learning,78.72104319612528
Machine Learning,67.27267711184422
Análise de Dados,78.63959063316867
Python Básico,77.557258240998
Machine Learning,76.04335027769164
Análise de Dados,81.61324114062172
Python Básico,84.91171204269196
Análise de Dados,87.32605769775589
Python Básico,81.28116395505843
Machine Learning,73.37794091606277
Python Básico,83.90583167100651
Análise de Dados,80.22671606517625
Análise de Dados,84.77688024179345
Machine Learning,79.85295963301392
Análise de Dados,77.46232988823594
Python Básico,72.57180330991972
Análise de Dados,82.41769956512044
Python Básico,75.56883844418262
Machine Learning,72.83800243976826
Machine Learning,73.55811778952543
Python Básico,90.70075006354904
Análise de Dados,77.65515228749611
Machine Learning,60.2111507556839
Machine Learning,53.386355278554106
Python Básico,83.96985520912496
Análise de Dados,83.1703837012207
Python Básico,70.83195899112839
Python Básico,65.60651396609158
Machine Learning,72.55524576544545
Análise de Dados,75.48000658037323
Python Básico,57.83944318723029
Análise de Dados,33.192657950225346
Análise de Dados,83.65838413367594
Análise de Dados,75.64330408873744
Análise de Dados,78.98107284095869
Machine Learning,61.24022825715224
Python Básico,53.237890692051806
Python Básico,100.0
Machine Learning,79.39113134413826
Machine Learning,55.56433006418236
Python Básico,50.28977179322065
Python Básico,56.67386152200002
Python Básico,81.73854967592746
Machine Learning,75.0488661368222
Análise de Dados,74.18290553882579
Machine Learning,68.74305133904745
Python Básico,91.70008094044522
Python Básico,66.2218051859233
Análise de Dados,62.79350967972814
Análise de Dados,72.39284188745846
Análise de Dados,51.97518197946931
Python Básico,64.67832412688007
Python Básico,71.73430490966729
Análise de Dados,85.70175310544377
Python Básico,62.49613320278341
Python Básico,84.62419089876535
Análise de Dados,76.38268970477105
Análise de Dados,74.55213711965419
Machine Learning,71.4603849635026
Análise de Dados,85.81057900345235
Python Básico,75.87978848059933
Machine Learning,62.759447166777555
Análise de Dados,76.90923635714769
Machine Learning,71.09310693752956
Machine Learning,61.61451433811402
Python Básico,93.78210682826297
Análise de Dados,81.41301630098144
Análise de Dados,53.859511272573734
Machine Learning,81.08635936067708
Análise de Dados,60.916051237842794
Análise de Dados,68.3451137140974
Python Básico,68.18113754775635
Python Básico,73.98713454505898
Python Básico,68.20372042336835
Análise de Dados,80.46433547353631
Machine Learning,66.06973287025559
Análise de Dados,81.45499426416347
Análise de Dados,95.66737538010096
Machine Learning,66.82952826579998
Python Básico,54.56322624736105
Python Básico,69.01129651295444
Machine Learning,85.09712770761715
Análise de Dados,64.94352770450844
Python Básico,72.65769805877738
Python Básico,72.34736333740999
Análise de Dados,83.28653304409615
Python Básico,73.93341641730932
Machine Learning,77.90438259189234
Python Básico,83.91711721715292
Machine Learning,66.111880898167
Análise de Dados,60.31296614786294
Análise de Dados,67.53132106010966
Análise de Dados,86.27256221423654
Python Básico,80.69485184391709
Python Básico,56.3832297111514
Python Básico,67.78484168776725
Machine Learning,70.92815960119955
Análise de Dados,47.35652773235816
Python Básico,92.7806163839909
Python Básico,68.82547301865131
Python Básico,72.84913446616196
Machine Learning,65.298237219221
Análise de Dados,54.07406455650677
Análise de Dados,66.23221051146902
Machine Learning,69.19653755856153
Python Básico,88.70964419842609
Python Básico,64.99092623539488
Análise de Dados,79.33437434662866
Machine Learning,65.89962816219042
Machine Learning,46.60368883082013
Python Básico,67.11992925995979
Análise de Dados,63.727332367439715
Análise de Dados,64.22330883545216
Python Básico,67.65334888095843
Análise de Dados,70.3031504576261
Análise de Dados,72.2082567415288
Análise de Dados,97.49137359889372
Machine Learning,63.7487791567628
Análise de Dados,58.46458229111489
Análise de Dados,87.55691635756858
Python Básico,72.81774048405372
Machine Learning,69.65255575716118
