Setor,Horas de Trabalho Semanais
Financeiro,41.159668371096316
Financeiro,49.576857663409804
TI,43.60632366526922
TI,36.134348918992316
Financeiro,48.135822311849154
Vendas,35.562287383423886
TI,36.10451632999774
Financeiro,34.908875803672515
TI,34.38252983033226
TI,41.999039769038944
Vendas,38.45258701273874
Financeiro,20.0
Financeiro,38.390421628302924
Vendas,36.89252646516619
Vendas,45.35695218579313
Financeiro,36.620448331237824
Financeiro,55.23554674726535
Vendas,48.38076147262146
TI,37.66053765394133
TI,46.8977384729985
Vendas,43.15127027614569
TI,41.400794778881455
Vendas,44.815913533644576
TI,40.32442524556292
TI,41.44210693646487
Financeiro,44.94011509767379
Financeiro,52.31471645047294
TI,41.507169833318045
TI,37.27722001016706
Financeiro,27.82461486943607
Financeiro,51.767820831781826
Financeiro,38.42054972456824
Vendas,43.2088557404876
TI,51.43544342156196
Financeiro,41.36561392558295
TI,38.83197842873512
Vendas,48.51803786526247
Vendas,42.76442240538351
Financeiro,43.5166336283404
Vendas,30.861034777169436
TI,47.23549124345551
Financeiro,42.25352840794987
TI,31.770463721661258
TI,42.91056466967965
Vendas,27.624845956529505
Vendas,54.051851215077974
Vendas,33.388871200109435
Vendas,49.67075659431062
Vendas,35.12226671128808
