Cliques Diários,CPC (R$),Categoria do Anúncio,Plataforma
5,4.83,Educação,Instagram
19,4.65,Tecnologia,Instagram
9,2.39,Moda,Instagram
52,1.83,Entretenimento,Google Ads
37,1.53,Tecnologia,Facebook
38,1.28,Educação,LinkedIn
18,3.73,Tecnologia,LinkedIn
40,2.58,Moda,Google Ads
42,3.88,Tecnologia,LinkedIn
5,0.84,Alimentação,Facebook
14,1.82,Educação,Google Ads
26,4.6,Moda,LinkedIn
32,1.35,Tecnologia,Google Ads
23,0.97,Moda,Instagram
18,2.64,Alimentação,LinkedIn
22,2.06,Educação,LinkedIn
5,2.75,Moda,LinkedIn
11,3.67,Moda,LinkedIn
52,1.32,Tecnologia,Facebook
6,1.35,Tecnologia,LinkedIn
20,1.18,Educação,LinkedIn
13,2.81,Tecnologia,LinkedIn
56,2.08,Tecnologia,Facebook
5,1.69,Alimentação,Instagram
5,2.73,Moda,Instagram
53,3.67,Moda,Facebook
26,1.15,Moda,Instagram
55,3.73,Tecnologia,LinkedIn
35,3.85,Entretenimento,LinkedIn
30,3.81,Tecnologia,Facebook
27,2.96,Educação,Google Ads
5,2.78,Tecnologia,LinkedIn
17,3.89,Educação,LinkedIn
7,0.86,Entretenimento,Facebook
30,4.83,Moda,LinkedIn
98,3.53,Moda,Instagram
22,1.76,Tecnologia,Instagram
10,2.44,Alimentação,Instagram
97,4.06,Tecnologia,Instagram
28,2.66,Moda,Google Ads
30,2.06,Entretenimento,Google Ads
27,4.81,Entretenimento,Instagram
19,1.06,Entretenimento,LinkedIn
24,3.76,Alimentação,Instagram
9,0.64,Tecnologia,LinkedIn
5,4.51,Alimentação,Facebook
15,3.82,Alimentação,Instagram
11,4.24,Educação,LinkedIn
13,3.14,Moda,Facebook
19,2.13,Tecnologia,Facebook
5,1.72,Moda,LinkedIn
22,2.69,Alimentação,Instagram
34,3.49,Educação,LinkedIn
29,3.4,Moda,LinkedIn
5,1.36,Entretenimento,Instagram
12,2.99,Educação,Facebook
5,4.69,Educação,Facebook
8,0.92,Alimentação,Facebook
5,0.62,Tecnologia,LinkedIn
20,2.97,Tecnologia,Instagram
6,1.71,Moda,LinkedIn
20,2.42,Educação,Google Ads
17,3.35,Entretenimento,Facebook
11,5.0,Tecnologia,Instagram
24,0.86,Educação,Facebook
21,2.17,Alimentação,Google Ads
17,0.53,Tecnologia,Instagram
5,2.72,Entretenimento,LinkedIn
6,3.72,Tecnologia,Instagram
31,2.94,Moda,Google Ads
44,2.8,Educação,Facebook
15,2.89,Tecnologia,LinkedIn
5,2.41,Tecnologia,Facebook
5,4.25,Educação,LinkedIn
116,1.49,Educação,Facebook
5,1.15,Entretenimento,Instagram
28,3.47,Moda,Instagram
119,1.57,Entretenimento,Facebook
17,3.64,Moda,Instagram
5,4.22,Tecnologia,Instagram
28,3.75,Educação,Facebook
20,2.05,Educação,Google Ads
15,4.32,Educação,LinkedIn
5,4.71,Tecnologia,Google Ads
52,2.11,Tecnologia,Instagram
5,2.24,Alimentação,Google Ads
14,4.56,Entretenimento,Facebook
31,3.21,Educação,Google Ads
152,4.23,Alimentação,Google Ads
15,3.96,Entretenimento,Google Ads
11,1.76,Alimentação,Instagram
55,3.9,Entretenimento,Google Ads
28,1.04,Alimentação,Instagram
56,0.92,Entretenimento,Facebook
35,0.84,Moda,Instagram
5,3.62,Educação,Instagram
12,4.89,Alimentação,Google Ads
55,3.7,Tecnologia,Facebook
5,2.22,Entretenimento,LinkedIn
35,2.31,Moda,Instagram
19,2.2,Alimentação,Google Ads
43,1.56,Alimentação,Google Ads
5,1.2,Alimentação,Facebook
15,3.24,Tecnologia,Facebook
15,4.67,Educação,Facebook
5,2.76,Tecnologia,Google Ads
35,3.0,Alimentação,LinkedIn
11,3.04,Educação,Facebook
55,4.14,Educação,Google Ads
8,0.63,Entretenimento,Facebook
43,4.5,Educação,Facebook
5,2.0,Moda,Instagram
45,4.79,Educação,Facebook
11,3.46,Entretenimento,LinkedIn
29,0.93,Entretenimento,Facebook
18,2.84,Alimentação,Facebook
9,2.7,Tecnologia,LinkedIn
28,1.56,Moda,Instagram
10,2.55,Moda,LinkedIn
5,3.32,Alimentação,Instagram
7,1.07,Alimentação,Instagram
5,0.79,Tecnologia,Facebook
141,2.03,Educação,LinkedIn
5,3.28,Alimentação,Instagram
20,4.73,Educação,Instagram
11,1.58,Alimentação,LinkedIn
69,4.36,Educação,Instagram
22,2.49,Moda,Instagram
47,2.41,Educação,Instagram
5,1.19,Educação,Instagram
6,1.65,Entretenimento,LinkedIn
46,4.73,Tecnologia,Instagram
20,3.91,Entretenimento,Instagram
5,2.16,Educação,Google Ads
34,3.87,Entretenimento,Google Ads
8,1.62,Educação,LinkedIn
21,3.38,Moda,Instagram
24,4.04,Entretenimento,Instagram
23,1.64,Moda,Google Ads
9,1.77,Tecnologia,Instagram
5,2.75,Educação,Instagram
23,3.63,Alimentação,Facebook
71,4.57,Moda,LinkedIn
26,4.4,Moda,Google Ads
65,4.92,Moda,Instagram
5,4.52,Entretenimento,Google Ads
20,2.64,Educação,Google Ads
47,4.38,Moda,LinkedIn
23,4.51,Moda,LinkedIn
66,3.66,Alimentação,LinkedIn
45,4.04,Entretenimento,LinkedIn
18,3.34,Alimentação,LinkedIn
35,0.67,Moda,Facebook
5,4.33,Educação,Facebook
12,3.54,Alimentação,Google Ads
5,3.72,Alimentação,LinkedIn
29,1.2,Entretenimento,Instagram
12,3.17,Tecnologia,Google Ads
5,3.88,Entretenimento,Instagram
5,3.61,Educação,Google Ads
51,3.41,Tecnologia,Google Ads
29,0.86,Educação,Google Ads
70,2.52,Tecnologia,LinkedIn
29,4.76,Alimentação,Google Ads
5,2.08,Educação,Instagram
91,2.03,Alimentação,LinkedIn
5,2.17,Alimentação,Instagram
5,2.75,Tecnologia,Google Ads
33,3.62,Educação,Facebook
7,4.13,Moda,Google Ads
11,4.1,Entretenimento,Instagram
5,1.8,Alimentação,Instagram
26,0.69,Moda,Instagram
34,2.6,Moda,Google Ads
5,4.11,Tecnologia,LinkedIn
40,2.2,Educação,LinkedIn
20,4.95,Educação,Instagram
26,3.08,Moda,Facebook
5,0.92,Educação,LinkedIn
28,0.65,Educação,Facebook
32,2.35,Tecnologia,Google Ads
58,0.71,Entretenimento,Facebook
25,3.9,Alimentação,Facebook
70,3.46,Moda,Instagram
53,4.6,Moda,LinkedIn
25,4.94,Alimentação,Google Ads
56,3.29,Moda,LinkedIn
5,3.07,Entretenimento,Instagram
51,4.89,Tecnologia,Facebook
97,4.92,Tecnologia,Instagram
6,1.45,Educação,Facebook
25,4.31,Alimentação,LinkedIn
92,4.3,Alimentação,LinkedIn
8,4.22,Entretenimento,LinkedIn
19,1.47,Tecnologia,Facebook
5,3.23,Tecnologia,Instagram
9,1.64,Moda,LinkedIn
33,2.69,Tecnologia,Google Ads
5,4.52,Educação,Google Ads
49,3.01,Tecnologia,LinkedIn
36,1.66,Entretenimento,Google Ads
42,1.34,Alimentação,Google Ads
5,1.39,Alimentação,Facebook
5,0.93,Moda,Google Ads
25,4.78,Entretenimento,LinkedIn
22,4.17,Moda,Google Ads
105,1.36,Tecnologia,Google Ads
19,4.98,Entretenimento,LinkedIn
94,4.01,Tecnologia,Instagram
5,2.87,Alimentação,LinkedIn
14,1.73,Moda,Facebook
63,1.14,Alimentação,Instagram
60,1.23,Tecnologia,Facebook
106,1.96,Tecnologia,Google Ads
62,1.98,Tecnologia,Google Ads
5,4.87,Moda,Instagram
37,3.37,Tecnologia,Instagram
9,0.87,Moda,Google Ads
8,0.69,Educação,Facebook
17,4.43,Alimentação,Google Ads
49,3.63,Tecnologia,Google Ads
5,2.32,Alimentação,Instagram
9,4.52,Entretenimento,Instagram
9,2.13,Educação,Facebook
13,3.81,Educação,Google Ads
34,3.51,Educação,LinkedIn
35,1.0,Entretenimento,Google Ads
5,4.66,Entretenimento,LinkedIn
26,3.8,Tecnologia,Facebook
5,4.0,Moda,Facebook
7,4.6,Entretenimento,Google Ads
77,3.8,Alimentação,LinkedIn
35,3.58,Educação,Instagram
18,4.38,Tecnologia,Instagram
20,3.7,Tecnologia,Instagram
29,4.59,Entretenimento,Instagram
50,4.9,Tecnologia,Facebook
8,1.24,Educação,Facebook
44,3.91,Entretenimento,Facebook
24,2.95,Tecnologia,Google Ads
18,3.87,Tecnologia,Facebook
8,3.02,Educação,Instagram
5,1.49,Tecnologia,Google Ads
6,0.65,Educação,Facebook
5,0.74,Tecnologia,Instagram
8,3.01,Entretenimento,Instagram
32,0.52,Moda,LinkedIn
49,2.97,Moda,Google Ads
112,4.4,Tecnologia,Facebook
88,2.42,Moda,Facebook
72,0.82,Moda,Facebook
15,4.02,Moda,Google Ads
12,1.71,Moda,Facebook
31,3.43,Tecnologia,Instagram
56,4.59,Educação,LinkedIn
13,0.76,Alimentação,Facebook
99,2.89,Entretenimento,Google Ads
18,4.31,Moda,Facebook
37,2.65,Tecnologia,Facebook
30,0.62,Educação,Instagram
5,0.64,Educação,Instagram
5,1.07,Moda,Instagram
7,2.19,Tecnologia,Google Ads
16,2.2,Alimentação,Instagram
8,0.91,Alimentação,Google Ads
51,1.06,Moda,LinkedIn
23,1.04,Moda,Facebook
45,2.38,Entretenimento,Facebook
13,0.76,Tecnologia,LinkedIn
