Tempo de Entrega (horas),Peso do Pedido (kg),Distância Percorrida (km),Prioridade
27.165541317002212,22.416141774468176,387.7943707774728,Média
35.06373442683312,0.822644378925028,290.16706308900615,Média
21.36698860638285,30.909302704551752,477.28159251994447,Média
26.714408393721378,25.007022933024874,331.6052361132749,Média
23.577601479702107,20.150833041180817,227.98926820520995,Média
30.460075077155494,9.375569704526969,153.49556925640994,Média
23.116447154864673,41.264866001821424,326.7742654675589,Baixa
32.438935759949494,5.533999938903559,146.30084414283402,Média
18.76693228806793,19.07422197591528,387.66013884347507,Alta
27.210601042771774,32.65497784945936,75.67536839480525,Média
23.135191314216666,49.69068234998847,91.8420475105713,Média
18.439675126690556,20.286742936758877,157.65063174012576,Baixa
23.89648609197367,15.998165977762225,471.0827491322122,Média
14.932391129697063,42.32728541632649,185.65558464113195,Média
25.017609466487954,30.836793243723783,439.6294924942239,Alta
26.65937021512298,42.58503121157915,311.76166247294645,Alta
18.914882683953838,34.88340671784055,280.33194408946326,Média
14.759747288347572,8.804103463464685,99.06433303739789,Média
24.86274536753854,17.09858143660087,222.9732544908199,Média
27.93100766590759,42.20801665732119,13.268606220638208,Alta
23.64264985147933,5.4888139164409955,14.288546258220173,Alta
28.18174385308836,34.68274331539116,90.05015999081793,Média
23.008855554972403,24.525089782772344,54.149790527158444,Baixa
23.538637178536966,38.35884770238392,419.3044544881552,Baixa
28.35362939331263,8.002478030109941,244.2397818819804,Média
19.80403760077458,20.04747543954181,362.70882521947624,Alta
28.11627687104898,20.57783046933912,50.075784134497425,Alta
27.508761810144048,0.8346146845754214,430.8875710241833,Alta
26.991802563822198,34.74577452865194,286.07447476011987,Média
21.460025137884074,16.39496887151528,446.57962720441304,Média
24.68069058230687,42.26027798940064,350.3347642408882,Média
16.53942703867181,13.153926375345959,424.1345846855927,Alta
27.058327682977417,38.54683427637817,489.68568429191885,Alta
30.84763793673908,7.088536889988324,209.12224581742248,Baixa
15.486342915156397,39.02144029790341,419.21464103752714,Alta
21.406095116368665,15.94688860584683,204.13390458267108,Alta
17.82648384340485,31.698961161099117,55.402725412488785,Média
10.0,23.259403132880276,324.66711344912017,Média
23.92138358249928,13.933804030052602,361.00076134125,Média
15.536576757085475,30.91865487365143,226.73010870284912,Média
20.90182673254768,15.454859606126295,81.2225260568296,Alta
28.371625841809333,0.6551975054900885,154.63912542223784,Alta
32.59759504737773,11.223298935333162,259.113808528264,Alta
24.171450444974685,1.42021899443621,249.88833476883036,Média
19.75782844571662,49.55271239553757,354.14364383604556,Média
25.344156817043103,6.15758915837797,56.179429201452656,Alta
15.293113991239313,25.220317635105598,375.4796088734789,Média
24.63246495056635,16.178911076073327,219.56918712760896,Média
23.226029518749964,45.10902172581625,105.23875664131377,Alta
28.03470445008105,26.785980777467003,388.1517117051913,Média
19.543446827864592,39.73454620044852,249.281965053223,Média
23.67721609264537,5.470410693810789,432.6644237176247,Média
23.318683525569877,9.772180498048797,159.66054063183554,Média
23.13053078393372,39.44610639582815,164.385234527461,Média
30.608165305347704,25.108775984884346,239.11911049795023,Média
16.157187942777078,7.331447234530694,50.02234799582013,Alta
21.10680445062834,34.22023697544892,160.88531507153647,Baixa
26.18003054974074,12.946212072070807,168.8101643057549,Média
20.235455979108615,26.16492966301328,42.82868135416425,Alta
19.37948894741922,28.214779355342746,495.6388894118465,Média
11.814734340540596,27.32900573747976,288.0350126758058,Média
16.059547468545116,13.6441097915469,241.3327513666692,Média
19.35994749686091,3.881738119151178,315.10528945787394,Média
21.234167398365475,27.645738901747883,453.005811033342,Baixa
22.937246040167626,45.49569640001171,495.5723659262845,Alta
20.332550830832947,29.22644358743327,433.9107250137546,Média
25.8536446270667,44.46994788531837,65.1573276328465,Alta
29.15451298083232,6.016579850172824,350.17010098434935,Baixa
25.519966681210533,25.403951687851805,192.4704050590303,Média
26.86548407188648,39.7015137483382,225.43376109001105,Baixa
17.907061177375255,27.076712176291373,494.779446788897,Média
20.142645523153696,44.675220401069765,159.41249411446375,Média
22.237453995505014,39.226079039546526,432.99585577247313,Alta
41.187244729211145,23.23738578343631,407.42091385945065,Média
25.788502697535392,34.71408435330476,346.70805990679014,Média
25.123169306991006,0.9807445460970867,44.09045236176693,Média
25.58659776606856,17.819500311159477,394.70681937183974,Alta
22.938741132334613,5.349109110506907,134.96752195388433,Média
22.432128978532912,31.34827054042099,436.85385873901134,Baixa
32.14867871405189,16.936151566989142,455.481702347238,Alta
24.86712443179677,4.079467796803572,120.03216454399255,Alta
24.572449463958016,6.357447226130606,149.17449599443142,Média
24.440316782644167,41.130252212477515,90.41058429978666,Alta
25.51976768804181,31.689119436085956,35.931497689806044,Média
22.102511876694265,45.25861443845923,452.76809546861773,Média
19.54812699157668,31.322336919788043,66.80071183155601,Baixa
28.442596474070573,8.872262576993382,258.5920699261145,Alta
28.28935111028475,47.62464955685571,412.7914159690717,Média
27.842043663414373,2.8712311722715205,143.54011990813697,Alta
27.01798142045838,6.121885455715717,452.5120909247964,Média
25.29332366866489,34.00604801150439,450.0513614880075,Média
14.24965512223824,11.46059305007416,407.73482054370805,Média
20.800772704763954,16.546328785880565,320.87912120162474,Média
21.933486310572512,6.499690049723595,438.9266069376949,Média
25.157802283639004,29.424150594183146,197.76368968628051,Média
20.350009961562083,34.304202164911025,97.32771210780966,Baixa
32.08982073707158,8.22089053306565,102.28739052589134,Alta
16.414865056340176,37.144971071677624,393.0494839977613,Alta
26.28001381802972,25.110656627461676,442.8590877055759,Média
19.6987011965969,29.485360917854578,469.25513665857704,Alta
18.7047175687453,3.5211334700503434,23.384024883985333,Média
20.28812121942727,31.05034318195149,427.4729252854301,Baixa
23.068032012821813,33.005173095655856,125.98693863119303,Média
22.366414145639297,43.01480761917968,168.6262565311043,Média
28.021628533682755,28.681100627731936,465.6736131759153,Baixa
25.03988149433089,45.273617534300385,215.70933043244574,Baixa
23.809314789846173,41.758373793291334,436.61641055044646,Média
28.60138076613667,28.593477824325486,229.10951685781268,Média
21.2806485770052,42.4226230456173,383.05175245457474,Baixa
33.3412848283332,1.790056227137507,55.62575670113951,Média
32.84674979585323,40.97050822911678,369.3570066092377,Baixa
21.750299176455282,48.08469634347134,339.12744514841177,Média
17.301296925326206,10.724209187068288,459.8366089055218,Alta
28.742202202684194,28.716774639137288,168.58588345944156,Média
31.639177515416474,47.746600672725904,53.5811197001111,Alta
22.715323696933897,12.25377031355429,475.5567487608862,Alta
17.025572810067764,23.944021002824826,219.96874668268782,Alta
24.413621419205953,4.2774714402124365,479.8242177195609,Média
22.69903611433167,13.5699997733165,161.92795614674594,Baixa
26.224036784466414,33.95119661582696,403.4585196471068,Média
28.436489518062448,3.909366968230089,300.91456892350897,Média
17.48691151084723,40.42010959964458,56.76793101310334,Média
23.165871625989404,35.42071023510443,480.695298704268,Média
15.470891872271396,37.95269829855263,39.453269389467415,Alta
22.89815626155542,1.3938047177127102,482.8731318875216,Alta
26.731381284233198,4.906837175851661,103.97240409767606,Média
28.100043550946204,29.185773844936396,275.0226951631113,Baixa
22.481852285376206,26.600970769826226,364.143486848982,Média
32.70875547776039,48.52432956852494,62.57868278467473,Média
28.38018166768187,24.55351107362839,189.07665072595856,Média
27.975586965521334,47.8767402564879,360.46417615371956,Baixa
22.042213205870674,6.83919397848661,308.6072441935143,Alta
18.369250861902472,18.96037761605429,457.86422245824,Baixa
32.80508742459532,44.1212831680835,181.31916438513184,Média
29.002789535154122,43.45613892918466,226.74126973462796,Baixa
13.400272503403237,48.57381508617378,277.688413788401,Média
33.54079447817509,43.7902077192938,310.14475150581086,Alta
18.737609760220465,5.5818975239493325,443.9860131069525,Média
24.40661550283638,35.98117335129987,306.28140625852507,Média
28.73541339853862,13.731012336134281,341.5064884933258,Alta
21.331416302192306,12.44334522900751,436.8959206802415,Média
24.06798229623318,21.934810267543696,271.3062993627052,Média
16.80809781554609,40.37892140120163,440.9891611165684,Alta
