Cultura,Produtividade Semanal (t)
Milho,47.4594190837146
Soja,41.889265885956604
Trigo,33.67947012196283
Trigo,41.244656465052614
Trigo,53.51909733914244
Milho,60.75690956272335
Milho,54.57259432827455
Soja,58.22824860614808
Soja,36.11521896600175
Trigo,32.16225906505427
Soja,38.79771897649313
Milho,55.64443156985401
Soja,35.35121903984829
Milho,43.53327055995391
Soja,27.980811481622297
Trigo,26.61646948954094
Milho,47.168216110315925
Milho,36.268445651969635
Soja,46.69319393189979
Milho,33.91122992875264
Trigo,42.7750766789419
Soja,36.340291818298056
Soja,48.06217795167285
Trigo,28.369702082200924
Soja,26.196146872029512
Soja,37.571807092799354
Soja,27.75000321338724
Milho,47.08933217844209
Milho,39.98732774851352
Milho,31.848903127197712
Soja,45.154079732322224
Trigo,37.64574931140112
Trigo,51.58489208336828
Trigo,41.228493547732434
Soja,39.881341102451046
Trigo,51.92781789299145
Trigo,43.291380878683455
Soja,33.425281616599136
Trigo,40.989979701821326
Soja,26.686954422213976
Trigo,52.7356483903897
Soja,58.16175239155589
Milho,38.131323858694294
Soja,38.98505314788438
Soja,46.99718561920662
Trigo,40.82799966271718
Milho,47.54549696166108
Milho,41.56109908238169
Soja,40.06430701838812
Milho,31.96602570260919
Trigo,41.46087765305848
Milho,51.55731798464083
Milho,41.71466454274152
Soja,42.38319607111597
Soja,55.16686627664569
Soja,36.774643003003405
Soja,41.95084023542566
Trigo,33.63369361678748
Soja,35.67076228665342
Soja,38.29987145180017
Soja,40.547215756472795
Milho,39.34898373026267
Milho,46.15647588650717
Soja,41.98126080446655
Soja,31.143715597680306
Soja,43.28362467655659
Milho,42.68492706622929
Trigo,34.13461502284988
Milho,34.48346334006635
Trigo,31.26003647350484
Milho,41.750272210580036
Milho,32.137766545494415
Trigo,32.94455959280224
Soja,43.7513050188144
Trigo,39.83957990384211
Soja,53.694174099231724
Trigo,34.75510875794228
Milho,41.0223270208039
Milho,52.41123425818573
Trigo,49.282760954671154
Milho,41.69830655891041
Milho,48.79312284040407
Soja,49.250100639690864
Milho,41.800977420830215
Trigo,44.575668820035524
Milho,40.70512042477697
Trigo,38.72104319612528
Trigo,27.272677111844217
Soja,38.639590633168666
Milho,37.557258240997996
Trigo,36.043350277691644
Soja,41.613241140621724
Milho,44.91171204269197
Soja,47.32605769775588
Milho,41.28116395505844
Trigo,33.37794091606277
Milho,43.90583167100651
Soja,40.226716065176255
Soja,44.77688024179345
Trigo,39.85295963301393
Soja,37.462329888235935
Milho,32.571803309919716
Soja,42.417699565120444
Milho,35.56883844418261
Trigo,32.83800243976826
Trigo,33.55811778952543
Milho,50.70075006354903
Soja,37.6551522874961
Trigo,20.211150755683903
Trigo,13.38635527855411
Milho,43.96985520912496
Soja,43.1703837012207
Milho,30.83195899112838
Milho,25.60651396609158
Trigo,32.55524576544544
Soja,35.480006580373235
Milho,17.839443187230284
Soja,10.0
Soja,43.65838413367594
Soja,35.64330408873743
Soja,38.98107284095868
Trigo,21.24022825715224
Milho,13.237890692051803
Milho,60.09961444519081
Trigo,39.39113134413826
Trigo,15.564330064182357
Milho,10.289771793220652
Milho,16.673861522000017
Milho,41.73854967592746
Trigo,35.0488661368222
Soja,34.18290553882579
Trigo,28.743051339047447
Milho,51.70008094044521
Milho,26.22180518592331
Soja,22.79350967972814
Soja,32.39284188745846
Soja,11.975181979469312
Milho,24.67832412688007
Milho,31.73430490966729
Soja,45.70175310544377
Milho,22.49613320278341
Milho,44.624190898765356
Soja,36.38268970477105
Soja,34.5521371196542
Trigo,31.460384963502605
Soja,45.81057900345235
Milho,35.87978848059932
Trigo,22.75944716677755
Soja,36.9092363571477
Trigo,31.09310693752955
Trigo,21.61451433811402
Milho,53.78210682826297
Soja,41.41301630098144
Soja,13.859511272573734
Trigo,41.08635936067707
Soja,20.916051237842797
Soja,28.345113714097387
Milho,28.18113754775635
Milho,33.98713454505897
Milho,28.203720423368352
Soja,40.46433547353631
Trigo,26.0697328702556
Soja,41.45499426416347
Soja,55.66737538010097
Trigo,26.829528265799972
Milho,14.563226247361053
Milho,29.01129651295444
Trigo,45.09712770761715
Soja,24.943527704508448
Milho,32.657698058777385
Milho,32.347363337409995
Soja,43.286533044096146
Milho,33.933416417309324
Trigo,37.90438259189235
Milho,43.91711721715292
Trigo,26.111880898166998
Soja,20.312966147862937
Soja,27.531321060109654
Soja,46.272562214236544
Milho,40.69485184391709
Milho,16.383229711151404
Milho,27.784841687767255
Trigo,30.92815960119955
Soja,10.0
Milho,52.7806163839909
Milho,28.825473018651316
Milho,32.84913446616196
Trigo,25.298237219220994
Soja,14.07406455650677
Soja,26.232210511469017
Trigo,29.19653755856153
Milho,48.70964419842609
Milho,24.990926235394884
Soja,39.33437434662867
Trigo,25.899628162190425
Trigo,10.0
Milho,27.119929259959793
Soja,23.72733236743972
Soja,24.22330883545216
Milho,27.653348880958433
Soja,30.3031504576261
Soja,32.2082567415288
Soja,57.49137359889372
Trigo,23.7487791567628
Soja,18.464582291114887
Soja,47.556916357568575
Milho,32.81774048405371
Trigo,29.652555757161178
Milho,86.09846914752913
Milho,97.26513697030502
Milho,96.22126179018166
Milho,93.7431861186445
Milho,81.39144703517417
Soja,81.77673936852571
Soja,73.8255363863434
Soja,83.0669548593575
Trigo,73.63719496981341
Trigo,63.36833156767324
Trigo,64.26044375493157
Trigo,62.46154849897306
